"","yearly_pff_id","pff_position_off"
"890","2016_10871","HB"
"891","2016_10921","WR"
"892","2016_8760","S"
"893","2016_8767","LB"
"894","2016_8799","QB"
"895","2016_8818","QB"
"896","2016_3631","LB"
"897","2016_11071","T"
"898","2016_8913","S"
"899","2016_3068","DI"
"900","2016_11174","WR"
"901","2016_11187","LB"
"902","2016_9014","HB"
"903","2016_11214","HB"
"904","2016_2994","QB"
"905","2016_2561","LS"
"906","2016_2539","LS"
"907","2016_10074","WR"
"908","2016_10078","WR"
"909","2016_11281","CB"
"910","2016_9812","P"
"911","2016_8016","ED"
"912","2016_10740","S"
"913","2016_6255","ED"
"914","2016_6236","LB"
"915","2016_9792","LB"
"916","2016_9783","HB"
"917","2016_6192","LB"
"918","2016_10752","CB"
"919","2016_3002","WR"
"920","2016_8043","LS"
"921","2016_10759","LB"
"922","2016_8073","LB"
"923","2016_6031","DI"
"924","2016_6022","ED"
"925","2016_9046","G"
"926","2016_6013","S"
"927","2016_5945","ED"
"928","2016_5813","LS"
"929","2016_8077","LB"
"930","2016_8102","S"
"931","2016_5740","ED"
"932","2016_9881","CB"
"933","2016_5667","CB"
"934","2016_5603","LB"
"935","2016_7925","S"
"936","2016_8104","P"
"937","2016_8138","ED"
"938","2016_8159","ED"
"939","2016_595","K"
"940","2016_5562","S"
"941","2016_10791","CB"
"942","2016_9000","ED"
"943","2016_8308","LB"
"944","2016_7813","S"
"945","2016_8386","CB"
"946","2016_9652","LB"
"947","2016_11210","CB"
"948","2016_8396","S"
"949","2016_5512","LS"
"950","2016_5508","LS"
"951","2016_9195","DI"
"952","2016_8458","S"
"953","2016_7974","LB"
"954","2016_8460","T"
"955","2016_9020","ED"
"956","2016_10824","LB"
"957","2016_9140","K"
"958","2016_10828","LB"
"959","2016_5349","ED"
"960","2016_5310","LB"
"961","2016_8515","LB"
"962","2016_8580","LS"
"963","2016_5192","P"
"964","2016_8652","LB"
"965","2016_5037","S"
"966","2016_10852","CB"
"967","2016_10853","S"
"968","2016_9605","LB"
"969","2016_10856","ED"
"970","2016_2316","P"
"971","2016_8681","DI"
"972","2016_8682","ED"
"973","2016_10865","WR"
"974","2016_8708","LB"
"975","2016_9028","DI"
"976","2016_2831","LS"
"977","2016_4654","DI"
"978","2016_4583","LB"
"979","2016_10902","S"
"980","2016_9584","DI"
"981","2016_8747","DI"
"982","2016_4580","P"
"983","2016_2687","LS"
"984","2016_9578","CB"
"985","2016_9326","LB"
"986","2016_4364","DI"
"987","2016_10949","LS"
"988","2016_8751","S"
"989","2016_9253","S"
"990","2016_7948","K"
"991","2016_8769","DI"
"992","2016_9560","LB"
"993","2016_10133","K"
"994","2016_7900","LB"
"995","2016_3784","S"
"996","2016_10011","LB"
"997","2016_8826","P"
"998","2016_11070","LB"
"999","2016_7748","LS"
"1000","2016_9996","HB"
"1001","2016_7604","K"
"1002","2016_10292","HB"
"1003","2016_7989","ED"
"1004","2016_8000","S"
"1005","2016_9842","HB"
"1006","2016_8867","ED"
"1007","2016_10055","S"
"1008","2016_7372","LB"
"1009","2016_1223","K"
"1010","2016_7336","LS"
"1011","2016_7279","S"
"1012","2016_7252","P"
"1013","2016_7224","S"
"1014","2016_8005","WR"
"1015","2016_3148","P"
"1016","2016_7192","P"
"1017","2016_7190","DI"
"1018","2016_9824","LB"
"1019","2016_7136","S"
"1020","2016_7126","DI"
"1021","2016_7113","LB"
"1022","2016_2276","DI"
"1023","2016_7087","LB"
"1024","2016_7053","HB"
"1025","2016_7017","DI"
"1026","2016_10698","S"
"1027","2016_11100","LB"
"1028","2016_10709","ED"
"1029","2016_11101","DI"
"1030","2016_8929","LB"
"1031","2016_11117","G"
"1032","2016_11306","HB"
"1033","2016_6508","LS"
"1034","2016_9460","S"
"1035","2016_6386","LB"
"1036","2016_6385","DI"
"1037","2016_226","K"
"1038","2016_6314","ED"
"1039","2016_6304","QB"
"1040","2016_6294","DI"
"1041","2016_6277","HB"
"1042","2016_8990","K"
"1043","2017_9564","G"
"1044","2017_10712","G"
"1045","2017_6169","T"
"1046","2017_6343","C"
"1047","2017_7078","G"
"1048","2017_2424","G"
"1049","2017_9500","G"
"1050","2017_9948","C"
"1051","2017_7786","T"
"1052","2017_4972","C"
"1053","2017_11787","T"
"1054","2017_8641","T"
"1055","2017_4944","C"
"1056","2017_9091","T"
"1057","2017_7029","T"
"1058","2017_7099","C"
"1059","2017_8230","G"
"1060","2017_10829","G"
"1061","2017_9535","T"
"1062","2017_9126","G"
"1063","2017_7010","T"
"1064","2017_4951","C"
"1065","2017_8841","C"
"1066","2017_7640","G"
"1067","2017_5150","C"
"1068","2017_8728","C"
"1069","2017_5543","C"
"1070","2017_2298","G"
"1071","2017_11775","T"
"1072","2017_7945","T"
"1073","2017_10642","T"
"1074","2017_6315","C"
"1075","2017_9505","G"
"1076","2017_4464","T"
"1077","2017_7985","C"
"1078","2017_9001","G"
"1079","2017_6324","G"
"1080","2017_7041","T"
"1081","2017_11825","C"
"1082","2017_11789","T"
"1083","2017_5847","T"
"1084","2017_5426","T"
"1085","2017_8668","G"
"1086","2017_10665","T"
"1087","2017_7904","C"
"1088","2017_8670","G"
"1089","2017_7032","G"
"1090","2017_8646","T"
"1091","2017_9719","T"
"1092","2017_7812","C"
"1093","2017_8699","C"
"1094","2017_9467","T"
"1095","2017_10998","C"
