player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Vincent Rey,5811,LB,CIN,10,5,0,80,0,0,7,51.2,47.7,77.2,57.3,48.4,58.5,0,1,0,24,7.1,1,0,1,105,4,0,134,1,61,178,26,0,0,26,0,0,152,16,101,17,3,8,5,1,0,46,28,11.5
Darian Stewart,5820,S,DEN,14,6,0,72,1,0,10,60.8,59.6,61.5,49.1,59.9,38.6,0,1,2,85,17.4,12,1,3,119.8,18,2,265,25,502,874,22,0,0,22,0,502,852,19,353,60,10,51,25,3,3,309,240,17.2
Ben Garland,5839,G,ATL,1,0,0,,0,0,2,,70.7,67.5,60,60,,0,0,0,,,0,0,2,0,0,0,0,0,0,2,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,
Tramaine Brock Sr.,5903,CB,DEN,12,4,0,53.7,1,0,10,60.5,59.5,84.9,,49.6,58.2,0,0,0,31,10,3,5,2,87.3,22,0,21,384,281,436,0,0,0,0,0,0,436,0,155,31,4,23,41,0,1,319,94,14.5
Barry Church,5924,S,JAX,11,7,0,52,1,0,15,40.1,49.9,27.5,64.9,75.9,66.6,1,1,1,75,8.5,4,1,4,102.2,13,1,268,14,398,670,41,0,0,41,0,300,629,7,265,47,17,36,25,3,4,203,101,15.6
Sam Shields,5943,CB,LA,12,0,0,73.5,1,0,26,57.1,60.6,84.9,,80.1,42.4,0,0,1,73,20.8,5,3,2,142.8,25,0,20,283,266,340,0,0,0,0,0,0,340,0,74,36,4,19,34,0,6,471,174,18.8
Frank Zombo,5945,ED,KC,4,0,0,,0,0,16,60,55.9,77.2,58.2,54.3,,0,1,0,,,0,0,0,0,0,0,0,0,1,30,29,0,0,29,0,0,1,13,16,0,0,0,0,1,0,0,0,
Anthony Levine,6013,S,BLT,17,3,1,70.8,0,0,3,76.4,62.8,85.4,53.2,28.7,51.2,2,1,1,17,15.4,4,6,1,79,17,1,151,14,189,297,81,0,0,81,0,2,216,67,41,48,9,19,24,4,1,123,72,7.2
Marcus Sherels,6017,CB,MIN,3,0,0,100,0,0,18,58.6,60.4,73.5,,63.2,23.2,0,0,0,24,100,1,0,0,118.8,1,0,6,23,16,30,0,0,0,0,0,0,30,0,14,0,0,0,1,0,0,24,18,24
Albert McClellan,6022,LB,NE,7,1,0,100,0,0,19,69.9,60.2,99.6,50.9,53.1,54.6,0,0,0,9,20,1,0,0,83.3,2,0,31,0,13,34,2,0,0,2,0,0,32,7,14,0,3,3,2,0,0,8,3,4
